row#,Name,FIPS,Source,ToxPi Score,Overall Physical Health,Mental Health & Deaths of Despair,Chronic Disease,Chronic Disease Prevention,Infectious Diseases,Child & Maternal Health,Access to Care
23919,"IL, Will, 17197882601",17197882601,"+41.5169533,-088.1081698",0.501075886764853,0.574845324012718,0.558438103816414,0.638126414439813,0.686544618855835,0.294501596592506,0.19210532000462,0.562969829632068
23920,"IL, Will, 17197882602",17197882602,"+41.5173008,-088.0949081",0.517841062519467,0.807055010403291,0.592906292666404,0.439077909134459,0.678929155069715,0.294501596592506,0.199364522540318,0.613052951229577
23921,"IL, Will, 17197882701",17197882701,"+41.5259115,-088.1081135",0.395941484673867,0.442383623915895,0.518465366253884,0.34815179864434,0.468778120428201,0.294501596592506,0.182694992890298,0.516614893991943
23922,"IL, Will, 17197882702",17197882702,"+41.5271036,-088.0961954",0.427672235351737,0.524318979310155,0.58738555410471,0.276781437043318,0.565874808091454,0.294501596592506,0.188379626181142,0.556463646138877
23923,"IL, Will, 17197882801",17197882801,"+41.5207296,-088.1198280",0.525843326493232,0.823418734163308,0.410951815988494,0.7907372431983,0.660500227341474,0.294501596592506,0.180473063270686,0.520320604897855
23924,"IL, Will, 17197882802",17197882802,"+41.5203551,-088.1326285",0.559201070580009,0.863912598625255,0.447035751784106,0.838623085860282,0.773655403592947,0.294501596592506,0.178938954049254,0.517740103555712
23925,"IL, Will, 17197882900",17197882900,"+41.5010905,-088.1200044",0.50647336288443,0.704045266331106,0.589373667580886,0.504399561695731,0.648385495043195,0.294501596592506,0.224085596851392,0.580522356096197
23926,"IL, Will, 17197883000",17197883000,"+41.5050441,-088.0556109",0.556805619464798,0.839109505792195,0.367614827771653,0.829380702498224,0.683751838231797,0.294501596592506,0.246311636384753,0.636969228982455
23927,"IL, Will, 17197883100",17197883100,"+41.4832254,-088.0754706",0.552088674195223,0.788878436004312,0.487788840075884,0.709931776508873,0.677880911116142,0.294501596592506,0.273055711866945,0.632583447201898
23928,"IL, Will, 17197883206",17197883206,"+41.5293372,-088.1505661",0.402581230111906,0.283841595308562,0.483663666511311,0.54503080794454,0.564792320233772,0.294501596592506,0.172337226894169,0.473901397298481
23929,"IL, Will, 17197883208",17197883208,"+41.5438124,-088.1511848",0.473432186675512,0.619994918524724,0.425192407304817,0.710666872236508,0.587440857923944,0.294501596592506,0.168581188053125,0.50764746609296
23930,"IL, Will, 17197883209",17197883209,"+41.5436212,-088.1704751",0.402331103507746,0.415012326010973,0.504205347118576,0.428533277535805,0.484516999244732,0.294501596592506,0.185122594295641,0.504425583755991
23931,"IL, Will, 17197883210",17197883210,"+41.5243895,-088.1654177",0.382537905921701,0.326587789352249,0.346833537396901,0.648062596016717,0.426768459842364,0.294501596592506,0.18992385040843,0.44508751184274
23932,"IL, Will, 17197883211",17197883211,"+41.4872200,-088.1771390",0.405363050927686,0.393779999587988,0.559218454545662,0.283903881415569,0.481659535690709,0.294501596592506,0.256753694096345,0.567724194565026
23933,"IL, Will, 17197883212",17197883212,"+41.4870448,-088.2279408",0.322171129753522,0.108661168601976,0.500763385188323,0.185632319984142,0.309414600459249,0.294501596592506,0.329972849816378,0.526251987632079
23934,"IL, Will, 17197883213",17197883213,"+41.5130488,-088.2239767",0.326721448649044,0.114676536631257,0.459851636374831,0.32824915064782,0.319145576543687,0.294501596592506,0.269754848289403,0.500870795463807
23935,"IL, Will, 17197883214",17197883214,"+41.5377271,-088.1903124",0.41410158359558,0.437693559573431,0.506854006440256,0.422382701297843,0.494617048517905,0.294501596592506,0.212726445275559,0.529935727471557
23936,"IL, Will, 17197883215",17197883215,"+41.5372403,-088.2300295",0.31158824887442,0.102659534289658,0.552593568271629,0.136931539736467,0.433373728457255,0.294501596592506,0.252623400038644,0.408434374734784
23937,"IL, Will, 17197883216",17197883216,"+41.5287073,-088.2085670",0.383653947052164,0.479306721967767,0.486827163036105,0.310953752292012,0.363879529945343,0.294501596592506,0.23272381185207,0.517385053679345
