row#,Name,FIPS,Source,ToxPi Score,Costs of Climate Disasters,Economic & Productivity Losses,Transition Risks,Social Stressors
958,"KS, Osage",20139,"+38.6497056,-095.7272747",0.608168647120665,0.507312919807511,0.709567320050681,0.641192043463472,0.574602305160998
959,"KS, Osborne",20141,"+39.3486494,-098.7678759",0.514939162299018,0.305230692100562,0.706154507802126,0.617357403621728,0.431014045671657
960,"KS, Ottawa",20143,"+39.1379632,-097.6548025",0.584355973434184,0.476620823202799,0.672954613209542,0.817237086001143,0.370611371323252
961,"KS, Pawnee",20145,"+38.1828730,-099.2321540",0.56436480906869,0.389124284764927,0.772745832756609,0.833525623653609,0.262063495099614
962,"KS, Phillips",20147,"+39.7845058,-099.3421498",0.557957631715908,0.303843754169879,0.625949180088494,0.85349518676426,0.448542405841001
963,"KS, Pottawatomie",20149,"+39.3821868,-096.3371126",0.601981734072117,0.426821375491212,0.676595332869926,0.738187064286632,0.566323163640698
964,"KS, Pratt",20151,"+37.6475943,-098.7401199",0.571538108801972,0.364054316782137,0.743485635387688,0.922606439741672,0.256006043296389
965,"KS, Rawlins",20153,"+39.7861975,-101.0767378",0.511130036111624,0.297484515531149,0.552904236678434,0.71738927044789,0.476742121789023
966,"KS, Reno",20155,"+37.9481849,-098.0783463",0.580683485450443,0.569808253810898,0.591619045735867,0.855887853312079,0.305418788942927
967,"KS, Republic",20157,"+39.8289103,-097.6509213",0.556818335983874,0.319715448756058,0.636879932892133,0.749138115024731,0.521539847262574
968,"KS, Rice",20159,"+38.3471776,-098.2014154",0.621407924758098,0.457446964894542,0.807442839672735,0.896195082079199,0.324546812385916
969,"KS, Riley",20161,"+39.2912114,-096.7274889",0.531140647638448,0.299789676593864,0.557337736463209,0.699996425157969,0.567438752338751
970,"KS, Rooks",20163,"+39.3460064,-099.3244921",0.551955277851987,0.309809260270513,0.686506805090585,0.842176033480342,0.369329012566507
971,"KS, Rush",20165,"+38.5235917,-099.3091827",0.514102784291,0.314614508756965,0.623566618855607,0.750334448298641,0.367895561252786
972,"KS, Russell",20167,"+38.9168388,-098.7656381",0.5438749049273,0.401463090397921,0.648764105656865,0.737450859194995,0.387821564459418
973,"KS, Saline",20169,"+38.7863268,-097.6501534",0.467286846815829,0.268127791074998,0.574298063423931,0.643676735647747,0.383044797116639
974,"KS, Scott",20171,"+38.4818768,-100.9063604",0.583647943742156,0.317504036156359,0.674260398905466,0.971748129608434,0.371079210298363
975,"KS, Sedgwick",20173,"+37.6838070,-097.4594505",0.407029840232004,0.165028751245453,0.538468725330786,0.675149503315224,0.249472381036555
976,"KS, Seward",20175,"+37.1805849,-100.8547406",0.548979377434058,0.425274979872482,0.585941190875642,0.871808288418727,0.31289305056938
977,"KS, Shawnee",20177,"+39.0418052,-095.7556639",0.52848231945864,0.424679909646131,0.450860275854097,0.655179940204573,0.583209152129758
978,"KS, Sheridan",20179,"+39.3505425,-100.4412056",0.543247703866892,0.301855389718463,0.471092871842531,0.848065674213437,0.551976879693135
979,"KS, Sherman",20181,"+39.3513521,-101.7198590",0.52983674053338,0.302414358394043,0.512648034296196,0.732389449189992,0.571895120253288
980,"KS, Smith",20183,"+39.7846603,-098.7854295",0.515838022434286,0.305144235490408,0.62857892779516,0.714076347535524,0.415552578916054
981,"KS, Stafford",20185,"+38.0356303,-098.7198888",0.600755902937131,0.484334970652473,0.763369877359309,0.911747414640028,0.243571349096715
