row#,Name,FIPS,Source,Life Expectancy,Self-Reported Physical Health,Self-Reported Mental Health,Drug Overdose Deaths per 100000 People,Alcohol Abuse,Suicide Rates,Current Diabetes,Current Adult Asthma,Stroke,COPD,CHD,Cancer,High Blood Pressure,Cholesterol Screening,Routine Doctor Visit,Colonoscopy,Mammogram,Older Men Preventive Screening,Older Women Preventive Screening,Dental Exams,COVID-19 Deaths,Hepatitis A,Hepatitis B,HIV,Chlamydia,Gonorrhea,Syphilis,Infant Mortality,Low birthweight,Pre-term birth,Childhood Asthma,Teen births,ADHD Prevalence,ADHD Treatment,Child Mortality,Free or Reduced Price School Lunch,Proximity to Nursing Homes,Number of Hospital Beds per 10000 people,Covid-19 Vaccination Rates,Medically Underserved Areas,Current Lack of Health Insurance,Proximity to hospitals,Below Poverty,Unemployed,Low Income,No High School Diploma,Homicide Rate,Gun Violence,Religious Organizations,Civic and Social Organizations,Aged 65 or Older,Aged 17 or Younger,Civilian with a Disability,Single-Parent Households,Foster Children,Minority,Speaks English Less than Well,Undocumented Population,Hate Crimes,Prison Population,Redlining,Homeless Population,Veterans Population,Multi-Unit Structures,Mobile Homes,Crowding,No Vehicle,Group Quarters,Housing Foreclosure Risk,Percent of Housing Units Built Between 1940-1969 as of 2015-2019,Delay (congestion) per capita/census tract,Flooding risk to roads,Lane miles per capita,Road Quality and Maintenance,Public Transit Performance,Bridge Quality and Maintenance,Walkability,Bikability,Residential Energy Cost Burden,Share of energy from fossil fuels,EV Charging Stations,Modified Retail Food Environment Index,Food Insecurity,Access to Healthy Foods,Indoor Plumbing,Percent of Household with no internet access,Percent of household with smartphone but no other device.,Percent of Unbanked Households,Payday lending rank,Housing Affordability (renters),Housing Affordability (owners),Tax Base: Median Real Estate Taxes Paid,Voter Turnout 2020,Public Library Locations,HUD Public Housing,Aggregate funding amount for HUD grants,Total vehicle miles traveled per capita,Passenger vehicle miles traveled per capita,Truck vehicle miles traveled per capita,Heavy Duty Vehicle vehicle miles traveled per capita,Proximity to Ports,Rail Crossings,Traffic Proximity and Volume,National Transportation Noise Map,Risk-Screening Environmental Indicators (RSEI),Air Tox Respiratory,Air Tox Neurological,Air Tox Liver,Air Tox Developmental,Air Tox Reproductive,Air Tox Kidney,Air Tox Immunological,Air Tox Thyroid,Air Tox Total Cancer Risk,Black Carbon,Agricultural pesticides,Lead Paint: % housing units built before 1960,Lead in drinking water violations,Superfund Sites,Brownfields,Stream Toxicity Risk-Screening Environmental Indicators (RSEI),Proximity to facilities participating in air markets,NPL sites,Hazardous Waste Management Facilities (TSDFs),Hazardous Waste Generator/Incinerators,Facilities with Enforcement or Violation,Landfills,TSCA Facilities,Risk Management Plan Facilities,Chemical Manufacturers,Metal Recyclers,Active Oil and Gas Wells,Annual average PM2.5 concentrations,NO2 concentration,Ozone concentration,Parks and Greenspace,Impermeable Surfaces,Forest Land Cover,Native American Lands,Temperature-related mortality,Deaths from climate disasters,Increased PM2.5 mortality - CVD (ages 65+),Increased Ozone mortality (all ages),Increase in childhood asthma incidence,Aedes albopictus dengue transmission increase,Aedes aegypti dengue transmission increase,Aedes aegypti zika transmission increase,FEMA Hazard Mitigation Grants,Flooding risk to properties,Wildfire risk to properties,Property taxes expected to be lost by 2045 due to chronic inundation,Cost of climate disasters,High-Risk Jobs Productivity (% Change),Yields (% change),Outdoor workers - work days at risk per year,Expected Annual Loss - Agriculture Value,Expected Annual Loss - Building Value,Expected Annual Loss - Population Equivalence,Residential Energy Expenditures (% change),Share of Jobs in Agriculture,State energy-related carbon dioxide emissions by year,Methane Emissions,Property Crimes (% change),Violent Crimes (% change),Cold Wave - Annualized Frequency,Days with maximum temperature above 35C,Days with maximum temperature above 40C,Frost Days,Maximum of maximum temperatures,Mean temperature,Urban Heat Island Extreme Heat Days,Drought - Annualized Frequency,Consecutive Dry Days,Wildfire - Annualized Frequency,Surface PM2.5,Snowfall,Standardized Precip Index,Total Precipitation,Coastal Flooding - Annualized Frequency,Riverine Flooding - Annualized Frequency,Sea Level Rise,Hurricane - Annualized Frequency,Tornado - Annualized Frequency,Winter Weather - Annualized Frequency
41,SC,45,"+33.8741769,-080.8542699",0.84,0.7,0.8,0.52,0.2,0.88,0.84,0.4,0.82,0.72,0.66,0.41304347826087,0.84,0.88,0.4,0.26,0.3,0.06,0.16,0.78,0.86,0.84,0.66,0.82,0.86,0.92,0.6,0.7,0.56,0.1,0.76,0.68,0.92,0.7,0.8,0.8,0.98,0.56,0.76,0.7,0.9,0.72,0.8,0.8,0.84,0.82,0.74,0.8,0.18,0.94,0.653061224489796,0.36,0.82,0.76,0.38,0.66,0.38,0.44,0.28,0.62,0,0.32,0.84,0.1,0.98,0.44,0.58,0.122448979591837,0.64,0.24,0.28,0.3,1,0.5,0.977272727272727,0.42,0.98,0.76,0.673469387755102,0.183673469387755,0.82,0.54,0.28,0.88,1,0.82,0.86,0.68,1,0.36,0.64,0.92,0.26,0.98,0.54,0.56,0.8,0.62,0.92,0.72,0.84,0,0.14,0.54,0.62,0.622222222222222,0.54,0.465116279069768,0.142857142857143,0.204081632653061,0.38,0.133333333333333,0.72,0.468085106382979,0.62,0.36,0.78,0,0.2,0.32,0.44,0.34,0.54,0.26,0.58,0.18,0.14,0.52,0.4,0.44,0.08,0,0.42,0.36,0.4,1,0.26,0.261904761904762,0.9,0.82,0.74,1,0.42,1,0.14,0.377777777777778,0.22,0.6,0.6,0.0612244897959184,0.86,0.7,0.84,0.82,0.82,0.66,0.62,0.6,0.76,0.62,0.44,0.08,0.22,0.2,0,0.48,0.44,0.16,0.12,0.18,0.32,0.84,0.3,0.8,0.32,0.14,0.4,0.34,0.94,0.38,0.66,0.88,0.84,0.12
42,SD,46,"+44.4467957,-100.2381762",0.14,0.12,0,0,0.88,0.6,0.32,0,0.58,0.22,0.74,0.956521739130435,0.48,0.06,0.68,0.52,0.42,0.64,0.76,0.26,0.48,0.3,0.22,0.06,0.48,0.2,0,0,0.02,0.82,0.18,0.62,0.2,0.3,0.52,0.14,0.68,0.02,0.56,0.7,0.42,0.08,0.42,0.02,0.48,0.32,0.3,0.2,0.14,0.02,0.653061224489796,0.94,0.22,0.6,0.74,0.16,0.16,0.12,0.6,0.14,0,0.62,0.44,0.6,0.74,0.24,0.12,1,0.1,0.46,0.06,0.52,0,0.28,1,0.24,0.48,0.7,0.183673469387755,1,0.86,0.22,0.18,0.78,0.94,0.72,0.44,0.74,0.590909090909091,0.04,0.06,0.48,0.46,0.52,0.08,0.14,1,1,0.6,1,0,0.98,0.08,0.88,0.18,0.0222222222222222,0,0.0697674418604651,0.0408163265306122,0.0204081632653061,0.02,0.0222222222222222,0.18,0.0638297872340426,0.16,0.98,0.22,0,0.12,0.16,0.66,0.14,0.06,0.02,0,0.02,0.5,0.38,0.38,0.66,0.32,0.52,0.16,0.06,0.44,0.422222222222222,0.48,0.833333333333333,0.58,0.3,0.42,0.1,0.58,0.12,0.64,0.377777777777778,0.68,0.8,0.02,0.775510204081633,0,0.42,0.52,0.52,0.38,1,0.76,0.94,0.52,0.96,0.56,0.34,0.88,0.78,0.94,0.76,0.82,0.68,0.94,0.84,0.14,0.64,0.1,0.86,0.72,0.26,0.42,0.4,0,0.66,0,0,1,0.76
43,TN,47,"+35.8585639,-086.3493573",0.9,0.94,0.94,0.68,0.1,0.22,0.88,0.8,0.86,0.94,0.88,0.630434782608696,0.88,0.88,0.46,0.62,0.62,0.8,0.9,0.92,0.82,1,0.94,0.6,0.6,0.62,0.52,0.76,0.56,0.12,0.38,0.84,0.9,0.88,0.84,0.46,0.74,0.2,0.74,0.7,0.82,0.9,0.82,0.58,0.78,0.88,0.6,0.76,0.08,0.88,0.775510204081633,0.36,0.86,0.6,0.5,0.4,0.22,0.46,0.46,0.86,0,0.56,0.56,0.24,0.68,0.44,0.28,0,0.68,0.38,0.64,0.6,1,0,0.727272727272727,0.78,0.82,0.92,0.183673469387755,0.530612244897959,0.74,0.54,0.64,0.78,0.92,0.84,0.84,0.88,1,0.54,0.24,0.82,0.72,0.86,0.84,0.66,0.74,0.68,0.56,0.92,0.5,0,0.16,0.72,0.68,0.622222222222222,0.54,0.465116279069768,0.142857142857143,0.204081632653061,0.62,0.577777777777778,0.72,0.468085106382979,0.6,0.64,0.56,0,0.44,0.04,0.2,0.58,0.14,0.24,0.44,0.06,0.22,0.16,0.3,0.38,0.14,0.64,0.72,0.38,0.82,0.422222222222222,0.3,0.214285714285714,0,0.74,0.92,0.84,0.68,0.82,0.26,0.133333333333333,0.14,0.64,0.44,0.0612244897959184,0,0.94,0.92,0.8,0.86,0.68,0.72,0.68,0.8,0.24,0.46,0.26,0.26,0.26,0,0.68,0.66,0.28,0.24,0.22,0.3,0.6,0.52,0.76,0.28,0.28,0.48,0.5,0,0.42,0,0.5,0.82,0.22
44,TX,48,"+31.4347032,-099.2818238",0.64,0.58,0.58,0.16,0.46,0.9,0.78,0.16,0.46,0.4,0.5,0.0434782608695652,0.64,0.64,0.74,0.92,0.64,0.98,0.98,0.9,0.38,0.1,0.26,0.84,0.72,0.6,0.62,0.66,0.56,0.18,0.3,0.88,0.36,0.64,0.64,0.9,0.32,0.5,0.48,0,1,0.52,0.74,0.4,0.72,0.94,0.48,0.5,0.5,0.8,0.0612244897959184,0.98,0.3,0.94,0.08,0.92,0.98,0.98,0.4,0.78,0,0.44,0.26,0.64,0.42,0.94,0.22,0,0.6,0.2,0.8,0.24,1,0.68,0.5,1,0.4,0.34,0.183673469387755,0.326530612244898,0.44,0.88,0.92,0.64,0.58,0.64,0.88,0.9,0.590909090909091,0.8,0.24,0.32,0.92,0.64,0.2,1,0.88,0.88,0.5,0.68,0.52,0,0.58,0.82,0.46,0.622222222222222,0.08,0.465116279069768,0.0408163265306122,0.102040816326531,0.48,0.133333333333333,0.22,0.468085106382979,0.06,0.72,0.9,0.702127659574468,0.18,0.12,0.6,0.68,0.36,0.32,0.8,0.48,0.48,0.62,0.82,0.42,0.76,0.68,0.8,0.66,0.26,0.422222222222222,0.82,0.80952380952381,0.8,0.84,0.84,0.4,0.1,0.42,0.02,0.133333333333333,0.22,0.3,0.24,0.775510204081633,0.84,0.88,0.98,0.98,0.94,0.42,0.8,0.66,0.68,0.26,0.82,0.8,0.02,0.04,0,0.98,0.96,0.08,0.18,0.14,0.76,0.9,0.6,0.68,0.48,0.1,0.12,0.1,0.56,0.9,0.98,0.58,0.56,0.12
45,UT,49,"+39.3349735,-111.6563633",0.3,0.06,0.32,0.58,0,0.48,0.02,0.28,0,0.02,0.02,0.0652173913043478,0,0,0.94,0.44,0.9,0.5,0.7,0.12,0.04,0.18,0.7,0.2,0.12,0.14,0.08,0.42,0.34,0.64,0.04,0.4,0.1,0.06,0.34,0.18,0.24,0.94,0.44,0,0.68,0.64,0.14,0.14,0.7,0.02,0.22,0.54,0.98,0.78,0,1,0,0.08,0.12,0.42,0.62,0.64,0.14,0.58,0,0.54,0.08,0.44,0,0.82,0,0,0.16,0.1,0.18,0.54,1,0.46,0.113636363636364,0.78,0.3,0.18,0,0.897959183673469,0.1,0.1,0.28,0.52,0.3,0,0.08,0.06,0.590909090909091,0.04,0.06,0.56,0.34,0.26,0.64,0.12,0.34,0.16,1,0.86,0,0,0.8,0.9,0.94,0.222222222222222,0.54,0.0697674418604651,0.387755102040816,0.387755102040816,0.62,0.133333333333333,0.94,0.0638297872340426,0.2,0.3,0.54,0.702127659574468,0.98,0.38,1,0.86,0.82,0.34,0.78,0.44,0.66,0.36,0.64,0.74,0.4,0.76,0.32,0.8,0.9,0.133333333333333,0.86,1,0.46,0.44,0.12,0.26,0.44,0.26,0.7,0.377777777777778,0.22,0.16,0.72,0.775510204081633,0,0.14,0.74,0.16,0.12,0.38,0.82,0.98,0.78,0.66,0.64,0.32,0.56,0.36,0,0.66,0.48,0.98,0.96,0.96,0.9,0.78,0,0.74,0.74,0.88,0.44,0.96,0.56,0.1,0,0,0.12,1
46,VT,50,"+44.0605475,-072.6733540",0.02,0.46,0.5,0.54,0.56,0.2,0.12,0.9,0.3,0.42,0.36,0.956521739130435,0.16,0.1,0.66,0.22,0.72,0.78,0.62,0.16,0,0.42,0.58,0.16,0.02,0.02,0,0,0.02,0.98,0.18,0.08,0.36,0.56,0.1,0.16,1,0.8,0.46,0,0.08,0,0.3,0.16,0.28,0.12,0.14,0.52,0.72,0.06,1,0.04,0.7,0.18,0.68,0.04,0.02,0.06,0.9,0,0,0.8,0.42,0.3,0.76,0.24,0.28,0.714285714285714,0.48,0.14,0.16,0.92,1,0.04,0.613636363636364,0.98,0.92,0.98,1,0.26530612244898,0.8,0.04,0.28,0.06,0.54,0.44,0,0,0,0,0.88,0.1,0.08,0.18,0.5,0.04,0.26,0.34,0.34,0.34,0,0.9,0.06,0.7,0,0.0222222222222222,0.08,0.209302325581395,0.142857142857143,0.102040816326531,0.06,0.133333333333333,0.14,0.0638297872340426,0.22,0.26,0.08,0.893617021276596,0.88,0.54,0.02,0.94,0.28,0.04,0,0.36,0.76,0.54,0,0,0.02,0,0.04,0.08,0.28,0.422222222222222,0.02,0.0238095238095238,0,0.02,0.08,0.22,0.04,0.22,1,0.933333333333333,0.14,0.52,0.24,0.0612244897959184,0,0.08,0.22,0.34,0.2,0.8,0.28,0.08,0.06,0.92,0.12,0.12,0.96,1,0.86,0.16,0.18,0.86,0.6,0.98,0.82,0,0.64,0.44,0.52,0.9,0.98,0.94,0,0.72,0,0.64,0.62,0.96
47,VA,51,"+37.5222512,-078.6681938",0.5,0.26,0.42,0.32,0.36,0.46,0.32,0.16,0.2,0.26,0.24,0.304347826086957,0.44,0.58,0.16,0.4,0.18,0.1,0,0.16,0.2,0.58,0.58,0.68,0.4,0.3,0.4,0.36,0.34,0.58,0.18,0.2,0.6,0.56,0.28,0.3,0.46,1,0.64,0,0.72,0.96,0.18,0.3,0.22,0.6,0.42,0.38,0.36,0.36,0.285714285714286,0.32,0.22,0.24,0.18,0.7,0.54,0.68,0.5,0.26,0,0.08,0.9,0.56,0.24,0.14,0.26,0.122448979591837,0.38,0.42,0.32,0.12,1,0.64,0.431818181818182,0.62,0.62,0.58,0.183673469387755,0.285714285714286,0.32,0.32,0.08,0.14,0.78,0.2,0.3,0.32,0.590909090909091,0.36,0.24,0.42,0.22,0.78,0.66,0.6,0.72,0.72,0.28,0.34,0.4,0,0.68,0.86,0.24,0.622222222222222,0.08,0.348837209302326,0.387755102040816,0.387755102040816,0.18,0.133333333333333,0.4,0.468085106382979,0.84,0.18,0.62,0,0,0.3,0.14,0.54,0.62,0.68,0.52,0.34,0.72,0.14,0.16,0.12,0.04,0.98,0.38,0.64,0.62,0.422222222222222,0.46,0.30952380952381,0,0.62,0.86,0.9,0.64,0.88,0.28,0.288888888888889,0.22,0.9,0.32,0.0612244897959184,0.62,0.82,0.5,0.72,0.68,0.36,0.2,0.3,0.5,0.08,0.3,0.52,0.34,0.6,0,0.4,0.34,0.3,0.28,0.32,0.44,0.32,0.66,0.54,0.16,0.52,0.64,0.56,0.56,0.36,0.86,0.78,0.46,0.44
48,WA,53,"+47.4162296,-120.5996231",0.22,0.38,0.22,0.38,0.3,0.74,0.24,0.6,0.18,0.12,0.14,0.369565217391304,0.14,0.14,0.88,0.34,0.8,0.24,0.22,0.32,0.06,0.5,0.54,0.48,0.34,0.46,0.68,0.14,0.02,0.96,0.66,0.18,0.26,0.24,0.08,0.24,0.52,0.84,0.22,0,0.24,0.92,0.22,0.36,0.24,0.26,0.24,0.26,0.7,0.42,0.183673469387755,0.46,0.46,0.28,0.72,0.56,0.76,0.82,0.98,0.22,0,0.9,0.82,0.76,0.56,0.74,0.18,0.612244897959184,0.12,0.3,0.88,0.4,1,0.74,0.272727272727273,0.46,0.4,0.24,0,0.244897959183673,0.22,0.16,0.28,0.32,0.34,0.04,0.14,0.24,0.590909090909091,0.7,0.64,0.2,0.04,0.84,0.24,0.68,0.24,0.26,0.54,0.3,0.48,0,0.64,0.42,0.72,1,0.98,0.465116279069768,1,1,0.78,1,0.98,1,0.58,0.12,0.58,0,0.58,0.42,0.08,0.08,0.88,0.48,0.5,0.98,0.1,0.4,0.42,0.4,0.66,0,0.24,0.78,0.02,0.133333333333333,0.74,0.5,0.82,0.12,0.2,0.56,0.6,0.68,0.7,0.377777777777778,0.02,0.1,0.72,0.0612244897959184,0.74,0.18,0.02,0.02,0.04,0.16,0.94,0.96,0.02,0.68,0.18,0.36,0.54,0.48,0,0.2,0.26,0.54,0.38,0.26,0.5,0,1,0.08,0.78,1,0.24,0.3,0.56,0.06,0.54,0,0.1,0.24
49,WV,54,"+38.6472854,-080.6183274",0.86,1,1,1,0.02,0.24,1,0.98,0.94,1,1,1,1,1,0.02,0.46,0.58,0,0.24,0.96,0.94,0.96,1,0.24,0,0,0.06,0.44,0.9,0.08,0.02,0.94,0.6,0.7,0.68,0.46,0.9,0.04,0.68,0.7,0.34,0.22,0.9,0.94,0.94,0.86,0.64,0.74,0.34,0.82,0.979591836734694,0.14,1,0.38,0.98,0,0,0,0.52,0.64,0,0.06,0.8,0.06,1,0.04,0.94,0.122448979591837,0.66,0.78,0.02,1,1,0.44,0.909090909090909,0.06,0.86,1,0.673469387755102,0,0.98,0.1,0.64,0.64,0.12,0.92,0.64,0.72,0,0.14,0.06,0.98,0.9,0.4,0.94,0.4,0.58,0.56,0.84,0.5,0.56,0.9,0.22,0.5,0.54,0.222222222222222,0.08,0.348837209302326,0.142857142857143,0.204081632653061,0.18,0.577777777777778,0.62,0.468085106382979,0.94,0.16,0.26,0,0.32,0.22,0.94,0.56,0.32,0.22,0.32,0.94,0.18,0.72,0.12,0.56,0.44,0.94,0.46,0.58,0.66,1,0.06,0,0,0.5,0.54,0.84,0.94,0.9,0.28,0.377777777777778,0.92,0.84,0.32,0.0612244897959184,0,0.54,0.26,0.76,0.56,0.44,0.34,0.38,0.32,0.16,0.96,0.96,0.46,0.88,0.54,0.3,0.38,0.44,0.52,0.36,0.94,0,0.86,0.7,0.02,0.74,0.78,0.52,0,0.74,0,0.6,0.72,0.32
50,WI,55,"+44.6284840,-089.7119299",0.3,0.42,0.18,0.44,1,1,0.12,0.26,0.3,0.26,0.36,0.826086956521739,0.3,0.54,0.58,0.06,0.56,0.72,0.84,0.16,0.28,0.1,0.1,0.1,0.2,0.12,0.18,0.4,0.02,0.6,0.04,0.3,0.7,0.8,0.4,0.26,0.14,0.64,0.4,0,0.32,0.34,0.26,0.08,0.38,0.26,0.16,0.24,0.66,0.84,0.551020408163265,0.36,0.34,0.44,0.68,0.18,0.38,0.3,0.26,0.54,0,0.1,0.3,0.66,0.32,0.34,0.52,0.612244897959184,0.36,0.52,0.3,0.36,1,0.8,0.545454545454545,0.52,0.18,0.24,0.183673469387755,0.551020408163265,0.64,0.32,0.08,0.32,0.06,0.52,0.4,0.16,0.590909090909091,0.54,0.64,0.24,0.24,0.22,0.22,0.52,0.42,0.4,0.7,0.54,0.6,0.66,0.74,0.62,0.7,0.0222222222222222,0.54,0.465116279069768,0.387755102040816,0.387755102040816,0.7,0.577777777777778,0.4,0.0638297872340426,0.44,0.84,0.18,0.702127659574468,0.5,0.8,0.42,0.84,0.64,0.6,0.76,0.32,0.92,0.78,0.7,0.8,0.72,0,0.54,0.42,0.32,0.133333333333333,0.38,0.523809523809524,0.6,0.22,0.4,0.06,0.52,0.08,0.7,1,0.22,0.72,0.32,0.0612244897959184,0,0.3,0.44,0.18,0.38,0.5,0.32,0.4,0.28,0.78,0.58,0.62,0.82,0.58,0.8,0.34,0.52,0.5,0.78,0.9,0.22,0.22,0.22,0.26,0.38,0.66,0.8,0.82,0,0.26,0,0.24,0.58,0.74
51,WY,56,"+42.9918024,-107.5419255",0.18,0.34,0.22,0.18,0.56,0.62,0.2,0.2,0.2,0.44,0.32,0.456521739130435,0.3,0.18,0.94,1,1,0.3,0.76,0.38,0.58,0.46,0.32,0.14,0.52,0.1,0,0,0.88,0.06,0.48,0.8,0.22,0.3,0.32,0.2,0.88,0.72,0.94,0,0.8,0.22,0.32,0.24,0.34,0.16,0.46,0.98,0.52,0.1,0.326530612244898,0.7,0.48,0.18,0.86,0.28,0.22,0.26,0.2,0.5,0,0.46,0.92,0.32,0.94,0.44,0.02,0.979591836734694,0,0.28,0,0.78,1,0.2,1,0.82,0.72,0.68,0.183673469387755,0.102040816326531,0.92,0.32,0.46,0.96,0.62,0.38,0.44,0.18,0.590909090909091,0.36,0.24,0.78,0.62,0.58,0,0.02,0.86,0.94,0.98,0.46,0,0.78,0.38,0.64,0.16,0.0222222222222222,0,0,0.0408163265306122,0.0204081632653061,0.06,0,0.24,0,0.54,0.88,0.32,0,0.48,0.74,0.24,0.9,0.04,0.06,0,0.66,0.84,0.56,0.14,0.7,0.52,0.86,0.08,0.04,0.92,0.0444444444444444,0.16,0.976190476190476,1,0.2,0.28,0.38,0.3,0.4,0.68,0.377777777777778,0.22,1,0.72,0.775510204081633,0,0.28,0.36,0.04,0.04,0.7,0.44,0.82,0.24,0.82,1,0.3,0.66,0.44,0.94,0.56,0.54,0.84,0.86,0.64,0.62,0.98,0.62,0.98,0.82,0.4,0.54,0.54,0,0.22,0,0,0.6,0.84
