row#,Name,FIPS,Source,ToxPi Score,Sectors Vulnerable to Disruption,Costs of Climate Disasters
63244,"TX, Denton, 48121021202",48121021202,"+33.2037782,-097.1181245",0.442356218543291,0.51414687564164,0.370565561444942
63245,"TX, Denton, 48121021301",48121021301,"+33.1982922,-097.1289269",0.403756969118,0.51414687564164,0.293367062594359
63246,"TX, Denton, 48121021303",48121021303,"+33.1658115,-097.0994330",0.452613399405638,0.51414687564164,0.391079923169636
63247,"TX, Denton, 48121021304",48121021304,"+33.1732652,-097.1345969",0.454721302770434,0.51414687564164,0.395295729899229
63248,"TX, Denton, 48121021305",48121021305,"+33.1843584,-097.1176062",0.415705857826766,0.51414687564164,0.317264840011891
63249,"TX, Denton, 48121021403",48121021403,"+33.1113136,-097.0197217",0.466790972803388,0.51414687564164,0.419435069965135
63250,"TX, Denton, 48121021404",48121021404,"+33.1544627,-097.0357988",0.462906737734461,0.51414687564164,0.411666599827283
63251,"TX, Denton, 48121021405",48121021405,"+33.2023363,-097.0593200",0.462138968552685,0.51414687564164,0.410131061463731
63252,"TX, Denton, 48121021406",48121021406,"+33.1541161,-097.1144366",0.460350327923798,0.51414687564164,0.406553780205956
63253,"TX, Denton, 48121021407",48121021407,"+33.1466258,-097.0957326",0.450159307532025,0.51414687564164,0.386171739422409
63254,"TX, Denton, 48121021408",48121021408,"+33.1326842,-097.0682187",0.452838806590268,0.51414687564164,0.391530737538895
63255,"TX, Denton, 48121021409",48121021409,"+33.1502277,-097.0725102",0.458299353336007,0.51414687564164,0.402451831030374
63256,"TX, Denton, 48121021502",48121021502,"+33.0690975,-096.9965822",0.447748296895064,0.51414687564164,0.381349718148488
63257,"TX, Denton, 48121021505",48121021505,"+33.0746109,-097.0299644",0.451230183985965,0.51414687564164,0.38831349233029
63258,"TX, Denton, 48121021512",48121021512,"+33.1156345,-097.1016183",0.458380130654731,0.51414687564164,0.402613385667821
63259,"TX, Denton, 48121021513",48121021513,"+33.0903134,-097.0416326",0.444124857169447,0.51414687564164,0.374102838697253
