row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.Social,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.Economic,ClimateChange.ExtremeEvents
23915,"IL, Will, 17197882200",17197882200,"+41.5328528,-088.0488744",0.546180818533587,0.590318265604821,0.748651830588823,0.575405827449391,0.645433803970624,0.291797842182279,0.521237324323735,0.450420835615438
23916,"IL, Will, 17197882300",17197882300,"+41.5199955,-088.0411844",0.511734006985494,0.567216831907087,0.636313086181937,0.515075952959113,0.6157524402827,0.282682596411874,0.5149123360862,0.450184805069549
23917,"IL, Will, 17197882400",17197882400,"+41.5191033,-088.0671995",0.534298065528551,0.553520994813285,0.799354896439432,0.569470592737132,0.66403539655704,0.294819456153732,0.475526441943531,0.383358680055702
23918,"IL, Will, 17197882500",17197882500,"+41.5160928,-088.0807010",0.533230911766521,0.58737439781171,0.697135671224817,0.582573749027279,0.750680942433019,0.279399734742937,0.452539106204105,0.382912780921779
23919,"IL, Will, 17197882601",17197882601,"+41.5169533,-088.1081698",0.482728971609595,0.541880965239279,0.465129285563666,0.481460059134997,0.746923611952303,0.298011176902835,0.46199187946848,0.383705823005603
23920,"IL, Will, 17197882602",17197882602,"+41.5173008,-088.0949081",0.498532026982656,0.558268759622012,0.530804846534249,0.502119650370717,0.748117977173411,0.313183542036097,0.453906644426049,0.383322768716057
23921,"IL, Will, 17197882701",17197882701,"+41.5259115,-088.1081135",0.452721986323872,0.39379629174129,0.474481045783887,0.49300299146425,0.654799614900696,0.31367280985485,0.455707550452917,0.383593600069213
23922,"IL, Will, 17197882702",17197882702,"+41.5271036,-088.0961954",0.476413594644832,0.431654579309156,0.544506764938249,0.498753513454102,0.723364374732184,0.291368573892978,0.46325330703796,0.381994049149197
23923,"IL, Will, 17197882801",17197882801,"+41.5207296,-088.1198280",0.519067611214357,0.590877315955017,0.580194131652728,0.576712763201536,0.709040799551724,0.32688779040441,0.463208681062625,0.386551796672459
23924,"IL, Will, 17197882802",17197882802,"+41.5203551,-088.1326285",0.551143513999555,0.641812716804558,0.627161062323444,0.687443532911876,0.720398970027397,0.280367132328157,0.478049297082492,0.422771886518957
23925,"IL, Will, 17197882900",17197882900,"+41.5010905,-088.1200044",0.527907754656331,0.540602672906975,0.612219818665385,0.577414685186823,0.716515737690948,0.291515115020123,0.5158703070234,0.441215946100663
23926,"IL, Will, 17197883000",17197883000,"+41.5050441,-088.0556109",0.566972408312425,0.599452299519089,0.806677786806592,0.642404894921359,0.649358181979434,0.296482425029482,0.521276991857367,0.453154278073652
23927,"IL, Will, 17197883100",17197883100,"+41.4832254,-088.0754706",0.58738121196922,0.587148440942538,0.783090801083131,0.691174836641709,0.757419019742878,0.283159608178189,0.534571565753948,0.475104211442144
23928,"IL, Will, 17197883206",17197883206,"+41.5293372,-088.1505661",0.484957494241877,0.411501072988672,0.589201955013354,0.539782326372195,0.603583503116242,0.300581306649535,0.519858877530042,0.430193418023097
23929,"IL, Will, 17197883208",17197883208,"+41.5438124,-088.1511848",0.46050595907322,0.514016680632902,0.422452405504499,0.518801189913943,0.52656616316222,0.298174253715942,0.50541592853483,0.438115092048206
23930,"IL, Will, 17197883209",17197883209,"+41.5436212,-088.1704751",0.432308486731683,0.400523632444534,0.402785184236596,0.42752173031096,0.549612339236588,0.294117666128306,0.506396708303868,0.445202146460931
23931,"IL, Will, 17197883210",17197883210,"+41.5243895,-088.1654177",0.437665459860847,0.37912523723635,0.295778925752866,0.52773659161958,0.593507319434214,0.289071723322859,0.513689584362011,0.46474883729805
23932,"IL, Will, 17197883211",17197883211,"+41.4872200,-088.1771390",0.502628147459433,0.379664205786644,0.537711659562941,0.54783732588434,0.696561416158211,0.309143493477701,0.561606973300464,0.485871958045728
23933,"IL, Will, 17197883212",17197883212,"+41.4870448,-088.2279408",0.434073099628753,0.240246721819541,0.327998781173164,0.537346533025325,0.600387387629633,0.310345199208034,0.54374269952954,0.478444375016038
23934,"IL, Will, 17197883213",17197883213,"+41.5130488,-088.2239767",0.395387268943551,0.263813170716228,0.213623663438557,0.450917311157843,0.5540091938896,0.297046546206764,0.540835069314354,0.447465927881511
23935,"IL, Will, 17197883214",17197883214,"+41.5377271,-088.1903124",0.425555949790143,0.406836003893759,0.455828441420465,0.302974920453827,0.551373732571554,0.294215900218445,0.505538897889088,0.462123752083866
23936,"IL, Will, 17197883215",17197883215,"+41.5372403,-088.2300295",0.416603365675501,0.274585412474417,0.464475438278531,0.408659030758383,0.460974735783622,0.294796396020743,0.5594827768745,0.45324976953831
23937,"IL, Will, 17197883216",17197883216,"+41.5287073,-088.2085670",0.392003740285604,0.358002769795778,0.26957322491434,0.360491295340046,0.528988657640008,0.295785060505403,0.494324886131476,0.436860287672174
23938,"IL, Will, 17197883303",17197883303,"+41.4459944,-088.2366574",0.405463780923726,0.259277237769867,0.211830793005238,0.455634096608244,0.587314609999952,0.311058469160673,0.537341351289764,0.475789908632344
23939,"IL, Will, 17197883304",17197883304,"+41.3303598,-088.0034936",0.471683020117397,0.463946329487033,0.352386240452363,0.671571232147365,0.508755524671543,0.319579392437861,0.514991671153463,0.470550750472154
23940,"IL, Will, 17197883305",17197883305,"+41.4468170,-088.2111341",0.443396676135611,0.364482463578624,0.261217750038026,0.486914074344333,0.705747597180779,0.307624752239911,0.516191614045814,0.461598481521788
