row#,Name,FIPS,Source,ToxPi Score,Temperature,Storms,Wildfires,Droughts,Flooding,Precipitation
64220,"TX, Harris, 48201340301",48201340301,"+29.5935323,-095.1253778",0.362499342260678,0.327938876385179,0.537708696097511,0.509242168281395,0.610676163290195,9.58182191499555e-05,0.189334331290639
64221,"TX, Harris, 48201340302",48201340302,"+29.5997387,-095.1142661",0.349182665643381,0.327938876385179,0.533714022329202,0.433336782345923,0.610676163290195,9.58182191499555e-05,0.189334331290639
64222,"TX, Harris, 48201340400",48201340400,"+29.5814459,-095.1121620",0.371162094920183,0.327938876385179,0.485890607395268,0.613036772940669,0.610676163290195,9.58182191499555e-05,0.189334331290639
64223,"TX, Harris, 48201340500",48201340500,"+29.5662828,-095.1216260",0.360672344477508,0.327938876385179,0.519932397828536,0.516056479851348,0.610676163290195,9.58182191499555e-05,0.189334331290639
64224,"TX, Harris, 48201340600",48201340600,"+29.5758631,-095.1312524",0.364618758443608,0.327938876385179,0.486541022226775,0.57312633924971,0.610676163290195,9.58182191499555e-05,0.189334331290639
64225,"TX, Harris, 48201340700",48201340700,"+29.5627712,-095.1346066",0.359190603548285,0.327938876385179,0.528833350404589,0.498265081699957,0.610676163290195,9.58182191499555e-05,0.189334331290639
64226,"TX, Harris, 48201340800",48201340800,"+29.5814930,-095.1438190",0.377444755844592,0.327938876385179,0.521704394141145,0.614918951741241,0.610676163290195,9.58182191499555e-05,0.189334331290639
64227,"TX, Harris, 48201340900",48201340900,"+29.5712320,-095.1597488",0.394575038517385,0.327938876385179,0.545242241114412,0.694162800804734,0.610676163290195,9.58182191499555e-05,0.189334331290639
64228,"TX, Harris, 48201341000",48201341000,"+29.5510250,-095.1412246",0.373602326892552,0.327938876385179,0.525089624090956,0.588479148079193,0.610676163290195,9.58182191499555e-05,0.189334331290639
64229,"TX, Harris, 48201341100",48201341100,"+29.5397244,-095.1256714",0.359542517408832,0.327938876385179,0.556299293250026,0.472910622017801,0.610676163290195,9.58182191499555e-05,0.189334331290639
64230,"TX, Harris, 48201341201",48201341201,"+29.5263117,-095.1114737",0.40444496807931,0.327938876385179,0.592481819112978,0.706142800177717,0.610676163290195,9.58182191499555e-05,0.189334331290639
64231,"TX, Harris, 48201341202",48201341202,"+29.5447674,-095.0874816",0.362105817475138,0.327938876385179,0.56328485096794,0.481304864697724,0.610676163290195,9.58182191499555e-05,0.189334331290639
64232,"TX, Harris, 48201341301",48201341301,"+29.5706402,-095.0924781",0.409788615265617,0.327938876385179,0.608373450783571,0.722313051624966,0.610676163290195,9.58182191499555e-05,0.189334331290639
64233,"TX, Harris, 48201341302",48201341302,"+29.5532050,-095.1038682",0.386161842709253,0.327938876385179,0.499564682986787,0.689361184083567,0.610676163290195,9.58182191499555e-05,0.189334331290639
64234,"TX, Harris, 48201341400",48201341400,"+29.5917302,-095.0695097",0.41122580024159,0.327938876385179,0.618652053672027,0.720657558592347,0.610676163290195,9.58182191499555e-05,0.189334331290639
64235,"TX, Harris, 48201341501",48201341501,"+29.5779730,-095.0380818",0.377068854677174,0.327938876385179,0.550855269896548,0.583512668981333,0.610676163290195,9.58182191499555e-05,0.189334331290639
64236,"TX, Harris, 48201341502",48201341502,"+29.5614543,-095.0375884",0.366716761535069,0.327938876385179,0.558445150056335,0.513810229968914,0.610676163290195,9.58182191499555e-05,0.189334331290639
64237,"TX, Harris, 48201341600",48201341600,"+29.5915772,-095.0124729",0.40070703318244,0.319531638721166,0.629396701833453,0.703877924532596,0.565495516452539,9.58182191499555e-05,0.185844599335735
64238,"TX, Harris, 48201341700",48201341700,"+29.6232275,-095.0105383",0.36620181436892,0.323443051988186,0.523373962921233,0.587724801304663,0.573514918057129,9.58182191499555e-05,0.18905833372316
64239,"TX, Harris, 48201341800",48201341800,"+29.6337492,-095.0237758",0.383830960025179,0.327938876385179,0.554686059612824,0.638343147762957,0.592587526880324,9.58182191499555e-05,0.189334331290639
64240,"TX, Harris, 48201342001",48201342001,"+29.6404539,-095.1259511",0.395266234404008,0.327938876385179,0.56192768616204,0.699713167486713,0.592587526880324,9.58182191499555e-05,0.189334331290639
64241,"TX, Harris, 48201342002",48201342002,"+29.6430772,-095.1519773",0.39127281889414,0.327938876385179,0.60027143296118,0.637408927628366,0.592587526880324,9.58182191499555e-05,0.189334331290639
