ToxPi Score,FIPS,Name,Source,Sectors Vulnerable to Disruption!1!0x88cceeff,Costs of Climate Disasters!1!0x44aa99ff
0.756775048535857,48207950300,"TX, Haskell, 48207950300","33.120371,-99.6317724",0.974745055095476,0.538805041976238
0.705250985665329,48207950400,"TX, Haskell, 48207950400","33.367944,-99.9894914",0.974745055095476,0.435756916235182
0.599692746275245,48237950100,"TX, Jack, 48237950100","33.2988863,-98.1569667",0.758716035863391,0.4406694566871
0.568326522903273,48237950300,"TX, Jack, 48237950300","33.2126831,-98.1637272",0.758716035863391,0.377937009943156
0.596679827151644,48237950500,"TX, Jack, 48237950500","33.0153528,-98.428315",0.758716035863391,0.434643618439898
0.747930955092406,48253020101,"TX, Jones, 48253020101","32.5690339,-99.7093182",0.930600232701389,0.565261677483423
0.645578977050505,48253020102,"TX, Jones, 48253020102","32.5487573,-99.6251588",0.930600232701389,0.360557721399621
0.684222277901542,48253020200,"TX, Jones, 48253020200","32.751904,-99.8938217",0.930600232701389,0.437844323101695
0.734834042256705,48253020300,"TX, Jones, 48253020300","32.841051,-100.0707215",0.930600232701389,0.539067851812021
0.702861987723807,48253020400,"TX, Jones, 48253020400","32.905538,-99.7880548",0.930600232701389,0.475123742746224
0.752213379714028,48253020500,"TX, Jones, 48253020500","32.7000063,-99.881746",0.930600232701389,0.573826526726667
0.697056622382239,48263950100,"TX, Kent, 48263950100","33.1847797,-100.7697199",0.973595236465677,0.420518008298802
0.709750224275731,48275950100,"TX, Knox, 48275950100","33.6218968,-99.7825399",0.979577031004038,0.439923417547424
0.704072459878106,48275950200,"TX, Knox, 48275950200","33.4841615,-99.5995843",0.979577031004038,0.428567888752175
0.780025255578442,48335950200,"TX, Mitchell, 48335950200","32.4152718,-100.851471",0.949380603654781,0.610669907502103
0.749339958017159,48335950400,"TX, Mitchell, 48335950400","32.2658166,-100.910502",0.949380603654781,0.549299312379537
0.632660122845118,48337950100,"TX, Montague, 48337950100","33.7600128,-97.5734992",0.838683183902539,0.426637061787696
0.630303774510661,48337950200,"TX, Montague, 48337950200","33.8428142,-97.7843399",0.838683183902539,0.421924365118783
0.599289684158524,48337950300,"TX, Montague, 48337950300","33.7867517,-97.7291848",0.838683183902539,0.359896184414508
0.664152180495071,48337950400,"TX, Montague, 48337950400","33.5846759,-97.7733166",0.838683183902539,0.489621177087603
0.630166777514472,48337950500,"TX, Montague, 48337950500","33.5609483,-97.843845",0.838683183902539,0.421650371126404
0.625389134121439,48337950600,"TX, Montague, 48337950600","33.585641,-97.6326462",0.838683183902539,0.412095084340339
0.689450155512369,48353950100,"TX, Nolan, 48353950100","32.4442471,-100.3446966",0.815892136061871,0.563008174962867
0.654675243916693,48353950200,"TX, Nolan, 48353950200","32.4828094,-100.3972167",0.815892136061871,0.493458351771516
0.637590196303036,48353950300,"TX, Nolan, 48353950300","32.4686718,-100.421267",0.815892136061871,0.459288256544202
0.668637774809798,48353950400,"TX, Nolan, 48353950400","32.4630189,-100.3932368",0.815892136061871,0.521383413557724
0.711324009237267,48353950500,"TX, Nolan, 48353950500","32.2671635,-100.418308",0.815892136061871,0.606755882412662
