row#,Name,FIPS,Source,ToxPi Score,Overall Physical Health,Mental Health & Deaths of Despair,Chronic Disease,Chronic Disease Prevention,Infectious Diseases,Child Health,Access to Care
23928,"IL, Will, 17197883206",17197883206,"41.5293336,-88.1507192",0.385847267788026,0.283841595308562,0.465976748895966,0.54503080794454,0.568817852834741,0.300685422086315,0.184106729928058,0.352471717517998
23929,"IL, Will, 17197883208",17197883208,"41.5438383,-88.1512396",0.450923412057002,0.619994918524724,0.395569788238904,0.710666872236508,0.592968435866506,0.300685422086315,0.184106729928058,0.352471717517998
23930,"IL, Will, 17197883209",17197883209,"41.5436212,-88.1704751",0.379295309910671,0.415012326010973,0.490711589875499,0.428533277535805,0.483546106420051,0.300685422086315,0.184106729928058,0.352471717517998
23931,"IL, Will, 17197883210",17197883210,"41.5243717,-88.1654425",0.360766684549021,0.326587789352249,0.301215571387596,0.648062596016717,0.412236965554215,0.300685422086315,0.184106729928058,0.352471717517998
23932,"IL, Will, 17197883211",17197883211,"41.48722,-88.177139",0.367311210766544,0.393779999587988,0.556954488400446,0.283903881415569,0.499276236429433,0.300685422086315,0.184106729928058,0.352471717517998
23933,"IL, Will, 17197883212",17197883212,"41.4887348,-88.2216114",0.274786528101747,0.108661168601976,0.486567022416287,0.185632319984142,0.305381316177456,0.300685422086315,0.184106729928058,0.352471717517998
23934,"IL, Will, 17197883213",17197883213,"41.5134594,-88.2241449",0.288945264095574,0.114676536631257,0.437303983989994,0.32824915064782,0.305123307867578,0.300685422086315,0.184106729928058,0.352471717517998
23935,"IL, Will, 17197883214",17197883214,"41.5377271,-88.1903124",0.383484585843412,0.437693559573431,0.493900918362457,0.422382701297843,0.493151052137783,0.300685422086315,0.184106729928058,0.352471717517998
23936,"IL, Will, 17197883215",17197883215,"41.5393132,-88.2290153",0.29866705214337,0.102659534289658,0.548977268248472,0.136931539736467,0.464837153196623,0.300685422086315,0.184106729928058,0.352471717517998
23937,"IL, Will, 17197883216",17197883216,"41.5287073,-88.208567",0.351089379718944,0.479306721967767,0.469786007981244,0.310953752292012,0.360315306259215,0.300685422086315,0.184106729928058,0.352471717517998
23938,"IL, Will, 17197883303",17197883303,"41.446527,-88.2364703",0.286962722469475,0.179836156756645,0.477451313366768,0.234652467664048,0.279535249966493,0.300685422086315,0.184106729928058,0.352471717517998
23939,"IL, Will, 17197883304",17197883304,"41.3303615,-88.0034857",0.421109383429624,0.452004092647655,0.511313560199561,0.579338028401676,0.567846133226109,0.300685422086315,0.184106729928058,0.352471717517998
23940,"IL, Will, 17197883305",17197883305,"41.446817,-88.2111341",0.357046108607566,0.37304895383411,0.541456223442432,0.332197192870397,0.41535652057365,0.300685422086315,0.184106729928058,0.352471717517998
23941,"IL, Will, 17197883306",17197883306,"41.4135232,-88.1841089",0.30351418360188,0.122470421007093,0.537362342132768,0.214642446134277,0.412860206406648,0.300685422086315,0.184106729928058,0.352471717517998
23942,"IL, Will, 17197883307",17197883307,"41.4231117,-88.0859136",0.382159220362351,0.426603583126755,0.511106916666788,0.420785864136689,0.479354309073851,0.300685422086315,0.184106729928058,0.352471717517998
23943,"IL, Will, 17197883401",17197883401,"41.3034809,-88.1483037",0.49245750692077,0.7641302780391,0.560763747485724,0.641950564124025,0.643094089264174,0.300685422086315,0.184106729928058,0.352471717517998
23944,"IL, Will, 17197883402",17197883402,"41.3370282,-88.2018423",0.471728534362977,0.731787374593997,0.524285315549326,0.582369265840349,0.626393915024796,0.300685422086315,0.184106729928058,0.352471717517998
23945,"IL, Will, 17197883504",17197883504,"41.4925064,-87.8466566",0.327411479646264,0.233995069595611,0.311446375727176,0.550994168791194,0.358180873877496,0.300685422086315,0.184106729928058,0.352471717517998
23946,"IL, Will, 17197883505",17197883505,"41.4928052,-87.8092767",0.281330769657154,0.226647531021033,0.471466448785497,0.176899272613141,0.257038265648036,0.300685422086315,0.184106729928058,0.352471717517998
23947,"IL, Will, 17197883507",17197883507,"41.4262845,-87.8452931",0.322231807456234,0.155644214328387,0.486594314958351,0.355678958641918,0.42044129473261,0.300685422086315,0.184106729928058,0.352471717517998
23948,"IL, Will, 17197883509",17197883509,"41.4043271,-87.9613442",0.309779011432778,0.127263488226771,0.551418001295948,0.25078878249426,0.401718938480097,0.300685422086315,0.184106729928058,0.352471717517998
23949,"IL, Will, 17197883510",17197883510,"41.4474137,-87.9607732",0.296410466268778,0.22640032411572,0.539116862694052,0.151151649973294,0.32094055756601,0.300685422086315,0.184106729928058,0.352471717517998
23950,"IL, Will, 17197883511",17197883511,"41.5253081,-87.7996638",0.327690627020652,0.46572407589252,0.526234782839642,0.153822222466948,0.310789438413081,0.300685422086315,0.184106729928058,0.352471717517998
23951,"IL, Will, 17197883513",17197883513,"41.5305854,-87.8345456",0.320688169531047,0.323326031573815,0.515235888387678,0.203899586474239,0.365091810749229,0.300685422086315,0.184106729928058,0.352471717517998
23952,"IL, Will, 17197883514",17197883514,"41.5465708,-87.8195471",0.28520204903494,0.330096754035996,0.454825795995357,0.147564272695736,0.226663650985123,0.300685422086315,0.184106729928058,0.352471717517998
23953,"IL, Will, 17197883515",17197883515,"41.5091342,-87.8811767",0.27582597669206,0.0995213799638803,0.43542859645671,0.300031936743223,0.258536054148238,0.300685422086315,0.184106729928058,0.352471717517998
23954,"IL, Will, 17197883516",17197883516,"41.4881231,-87.8860843",0.276369977025107,0.280930047312655,0.458713033772248,0.158141942304621,0.199540946253853,0.300685422086315,0.184106729928058,0.352471717517998
