row#,Name,FIPS,Source,ToxPi Score,Socioeconomic Status,Housing Composition & Disability,Minority Status & Language,Housing & Transportation,HUD Foreclosure,Undocumented population
23908,"IL, Will, 17197881603",17197881603,"+41.5405416,-088.1331334",0.52152848473549,0.6086142191296,0.598396677892846,0.696357908712524,0.526755948831819,0,0.699046153846154
23909,"IL, Will, 17197881604",17197881604,"+41.5477116,-088.1338305",0.480021470436008,0.494090048205988,0.553220918499499,0.740297275997842,0.393474426066565,0,0.699046153846154
23910,"IL, Will, 17197881700",17197881700,"+41.5342958,-088.1125367",0.493507915626892,0.380840977035974,0.416800878655134,0.483617609442824,0.331390692126862,0.649351182654402,0.699046153846154
23911,"IL, Will, 17197881800",17197881800,"+41.5388538,-088.0946565",0.734038239092113,0.831875106846704,0.587413207011447,0.830292493106864,0.615753590692892,0.83984888304862,0.699046153846154
23912,"IL, Will, 17197881900",17197881900,"+41.5317188,-088.0883414",0.816301908207666,0.942942605765944,0.726898029879434,0.870463628158746,0.752868061819106,0.90559296977661,0.699046153846154
23913,"IL, Will, 17197882000",17197882000,"+41.5255068,-088.0796335",0.772828968942378,0.887932025969671,0.533624340747808,0.877549456031133,0.798972954010879,0.83984888304862,0.699046153846154
23914,"IL, Will, 17197882100",17197882100,"+41.5320328,-088.0639941",0.767011327528029,0.898534236162275,0.571179125505319,0.971182462670191,0.611189718915902,0.850936268068331,0.699046153846154
23915,"IL, Will, 17197882200",17197882200,"+41.5328528,-088.0488744",0.715244401708304,0.804421130726226,0.506560867253037,0.884134063986399,0.586405705607523,0.810898488830486,0.699046153846154
23916,"IL, Will, 17197882300",17197882300,"+41.5199955,-088.0411844",0.612345499444409,0.761186965623479,0.456912376560706,0.742681564987846,0.171276159038545,0.842969776609724,0.699046153846154
23917,"IL, Will, 17197882400",17197882400,"+41.5191033,-088.0671995",0.761686881059371,0.88026361758454,0.526469813719048,0.91077335254389,0.613412851509726,0.940155497152869,0.699046153846154
23918,"IL, Will, 17197882500",17197882500,"+41.5160928,-088.0807010",0.668057153218074,0.82240477892702,0.55827733083091,0.847289940965453,0.13678901609677,0.944535698642138,0.699046153846154
23919,"IL, Will, 17197882601",17197882601,"+41.5169533,-088.1081698",0.455546300183447,0.579372398475261,0.547817851234341,0.752494275683659,0.154547121861268,0,0.699046153846154
23920,"IL, Will, 17197882602",17197882602,"+41.5173008,-088.0949081",0.515703133563759,0.826192257066993,0.484079064066609,0.853633730906335,0.231267595496465,0,0.699046153846154
23921,"IL, Will, 17197882701",17197882701,"+41.5259115,-088.1081135",0.464112230539679,0.56379423741219,0.454985427710938,0.701404610372631,0.365442953896162,0,0.699046153846154
23922,"IL, Will, 17197882702",17197882702,"+41.5271036,-088.0961954",0.528253677635842,0.706418077883161,0.450673744553769,0.780168212457819,0.533215877074151,0,0.699046153846154
23923,"IL, Will, 17197882801",17197882801,"+41.5207296,-088.1198280",0.560942229381697,0.533833511183895,0.665272048520236,0.774385750805506,0.693115911934392,0,0.699046153846154
23924,"IL, Will, 17197882802",17197882802,"+41.5203551,-088.1326285",0.603962521572402,0.827725459299786,0.599138926082221,0.785074231072969,0.712790359133283,0,0.699046153846154
23925,"IL, Will, 17197882900",17197882900,"+41.5010905,-088.1200044",0.590276792939874,0.559443246664226,0.496587292956894,0.733319526416171,0.267456390581026,0.78580814717477,0.699046153846154
23926,"IL, Will, 17197883000",17197883000,"+41.5050441,-088.0556109",0.768394427811456,0.767729070403287,0.742248957857011,0.769067973871706,0.728447209839329,0.903827201051248,0.699046153846154
23927,"IL, Will, 17197883100",17197883100,"+41.4832254,-088.0754706",0.746789460162293,0.701029659859717,0.568207468166435,0.810687977156297,0.794475204091456,0.907290297853701,0.699046153846154
23928,"IL, Will, 17197883206",17197883206,"+41.5293372,-088.1505661",0.569193123946073,0.445802829654444,0.554414451297013,0.463300230951524,0.506085550989062,0.746509526938239,0.699046153846154
23929,"IL, Will, 17197883208",17197883208,"+41.5438124,-088.1511848",0.416455564984995,0.410198854587117,0.588402851235534,0.583222715565366,0.217862814675797,0,0.699046153846154
23930,"IL, Will, 17197883209",17197883209,"+41.5436212,-088.1704751",0.398440983375301,0.382123638915493,0.595322580576309,0.244894736119313,0.469258790794539,0,0.699046153846154
23931,"IL, Will, 17197883210",17197883210,"+41.5243895,-088.1654177",0.300426477414102,0.0960369448639155,0.530594787031309,0.173338643448645,0.303542335294587,0,0.699046153846154
23932,"IL, Will, 17197883211",17197883211,"+41.4872200,-088.1771390",0.52202956602076,0.538210821128668,0.49633381937148,0.694221289414304,0.704365312363951,0,0.699046153846154
23933,"IL, Will, 17197883212",17197883212,"+41.4870448,-088.2279408",0.329938893378462,0.222983006099318,0.405504719128853,0.501176341506894,0.150923139689555,0,0.699046153846154
23934,"IL, Will, 17197883213",17197883213,"+41.5130488,-088.2239767",0.225174734553901,0.08709803263804,0.342787097304529,0.222117123534683,0,0,0.699046153846154
23935,"IL, Will, 17197883214",17197883214,"+41.5377271,-088.1903124",0.447027007418374,0.402885134984344,0.64256003721481,0.551236643308163,0.386434075156775,0,0.699046153846154
23936,"IL, Will, 17197883215",17197883215,"+41.5372403,-088.2300295",0.454947395787249,0.378593094122552,0.456554295851289,0.672193520663549,0.523297310239952,0,0.699046153846154
23937,"IL, Will, 17197883216",17197883216,"+41.5287073,-088.2085670",0.276422845687779,0.193742010387009,0.362673243706798,0.390480697051473,0.0125949691352408,0,0.699046153846154
23938,"IL, Will, 17197883303",17197883303,"+41.4459944,-088.2366574",0.223532519301595,0.0737933025903015,0.445547850644215,0.0232431987035994,0.0995646100252981,0,0.699046153846154
23939,"IL, Will, 17197883304",17197883304,"+41.3303598,-088.0034936",0.352277070666131,0.319481875758442,0.423679899877911,0.469099430266204,0.202355064248074,0,0.699046153846154
23940,"IL, Will, 17197883305",17197883305,"+41.4468170,-088.2111341",0.268769482663244,0.267878644359468,0.369641378364742,0.261139604548732,0.0149111148603699,0,0.699046153846154
23941,"IL, Will, 17197883306",17197883306,"+41.4134298,-088.1839371",0.332632762980757,0.352142504809754,0.481063862222883,0.278766400900707,0.184777656105046,0,0.699046153846154
23942,"IL, Will, 17197883307",17197883307,"+41.4280782,-088.0835269",0.344312281646776,0.300172661736725,0.474396006667325,0.290714160352484,0.301544707277968,0,0.699046153846154
23943,"IL, Will, 17197883401",17197883401,"+41.3013428,-088.1491908",0.442610076479106,0.536270179488799,0.615244043981654,0.174816898182181,0.630283183375849,0,0.699046153846154
23944,"IL, Will, 17197883402",17197883402,"+41.3369539,-088.2019890",0.379489164766259,0.521199937708252,0.529997034360127,0.156179188925663,0.370512673757361,0,0.699046153846154
23945,"IL, Will, 17197883504",17197883504,"+41.4925064,-087.8466566",0.437791805426442,0.244338437732633,0.575571595501916,0.143393713006578,0.472654874652713,0.49174605781866,0.699046153846154
23946,"IL, Will, 17197883505",17197883505,"+41.4928052,-087.8092767",0.430429841202701,0.257166491746847,0.394738708617263,0.454202950330842,0.164429232381628,0.612995510293474,0.699046153846154
23947,"IL, Will, 17197883507",17197883507,"+41.4262842,-087.8452939",0.308859249127217,0.223577342462811,0.465648492408715,0.247695359797668,0.217188146247956,0,0.699046153846154
23948,"IL, Will, 17197883509",17197883509,"+41.4043262,-087.9613435",0.315513507219499,0.332887376019315,0.471275835222987,0.127187368120425,0.262684310108113,0,0.699046153846154
23949,"IL, Will, 17197883510",17197883510,"+41.4474142,-087.9607744",0.234313241473308,0.244603055731834,0.337203030797781,0.0610915033577324,0.0639357051063474,0,0.699046153846154
23950,"IL, Will, 17197883511",17197883511,"+41.5253067,-087.7996653",0.284355504192994,0.180455947748654,0.353434482948297,0.225536654688122,0.247659785926734,0,0.699046153846154
23951,"IL, Will, 17197883513",17197883513,"+41.5305854,-087.8345456",0.325614703433605,0.291180924194576,0.381193637540382,0.431336880941366,0.150930624079154,0,0.699046153846154
23952,"IL, Will, 17197883514",17197883514,"+41.5460589,-087.8184935",0.299835040023057,0.103712395479253,0.335259829947103,0.379102180353463,0.281889680512368,0,0.699046153846154
23953,"IL, Will, 17197883515",17197883515,"+41.5087251,-087.8815264",0.244246756619611,0.100302230648868,0.334949184249481,0.255495943997692,0.0756870269754731,0,0.699046153846154
23954,"IL, Will, 17197883516",17197883516,"+41.4881604,-087.8861388",0.268763627634252,0.261801528468338,0.358048290900627,0.16229032402493,0.131395468565466,0,0.699046153846154
23955,"IL, Will, 17197883517",17197883517,"+41.5246879,-087.8991636",0.338443024205069,0.239590322391842,0.460279414572363,0.27700877753931,0.354733476880747,0,0.699046153846154
